"filer_name","election_year","jurisdiction","office","position","party","contributions_amount","expenditures_amount","debts_amount","independent_expenditures_for_amount","independent_expenditures_against_amount","jurisdiction_type","candidacy_id","jurisdiction_code","declared","withdrew","discontinued"
"DAHLQUIST CATHERINE C","2009","ENUMCLAW SD 216","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","15577","3276",,,
"DAHL RICHARD A (RICHARD DAHL)","2015","SNOHOMISH FIRE PROT DIST 24 *","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","19862","4131",,,
"DAHL RICHARD A (Rich Dahl)","2021","SNOHOMISH FIRE PROT DIST 24 *","FIRE COMMISSIONER","5",,"0","0","0","0","0","Local","295825","4131","2021-05-18T00:00:00.000",,
"DAHLSTROM QUINN E","2011","CITY OF BONNEY LAKE","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","12622","3069",,,
"Daicy Leyva Sanchez","2025","MANSON PARK & RECREATION DIST","PARK & RECREATION COMMISSIONER","1",,"0","0","0","0","0","Local","3335685","3691","2025-05-08T00:00:00.000",,
"DAILEY PATTI (PATTI DAILEY)","2017","CITY OF UNIVERSITY PLACE","CITY COUNCIL MEMBER",,"NONE","3335.00","1456.78","0.0","0","0","Local","2842","4893",,,
"Dain Harden","2025","TOWN OF REARDAN","CITY COUNCIL MEMBER","3",,"0","0","0","0","0","Local","3326002","4001","2025-05-06T00:00:00.000",,
"Daisy E. Anderson (Daisy Anderson)","2019","CLALLAM PUBL HOSP DIST 01","HOSPITAL COMMISSIONER",,,"0","0","0","0","0","Local","23257","3144","2019-05-14T00:00:00.000",,
"Daisy Reyes (Daisy Villanueva)","2025","UNION GAP SD 002","SCHOOL DIRECTOR","2",,"0","0","0","0","0","Local","3331747","4268","2025-05-08T00:00:00.000",,
"Dakota Burger","2025","GRAYS HARBOR WATER DIST 2","WATER & SEWER COMMISSIONER","1",,"0","0","0","0","0","Local","3322140","3392","2025-05-05T00:00:00.000",,
"Dakota Childers","2023","LINCOLN FIRE PROT DIST 08","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","2078361","3664","2023-05-16T00:00:00.000",,
"Dakota Lawrence","2019","CITY OF AIRWAY HEIGHTS","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","23917","3016","2019-05-16T00:00:00.000",,
"Dalana Potter","2023","CITY OF TONASKET","CITY COUNCIL MEMBER","5",,"891.76","991.65","0.0","0","0","Local","2078307","4253","2023-05-18T00:00:00.000",,
"Dale Burgeson","2017","GRANDVIEW SD 116-200 *","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","4017","3335",,,
"Dale Burgeson","2015","GRANDVIEW SD 116-200 *","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","6921","3335",,,
"Dale Burgeson (Dale H. Burgeson)","2021","GRANDVIEW SD 116-200 *","SCHOOL DIRECTOR","2",,"0","0","0","0","0","Local","94093","3335","2021-05-17T00:00:00.000",,
"Dale Dreger","2025","LINCOLN FIRE PROT DIST 07","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","3335815","3663","2025-05-08T00:00:00.000",,
"Dale Elmlund","2023","PORT OF SHELTON","PORT COMMISSIONER","1",,"0","0","0","0","0","Local","689112","3962","2023-05-18T00:00:00.000",,
"Dale E Paris","2017","GRANT CO HOSP DIST 1","HOSPITAL COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","3779","3354",,,
"Dale E Paris","2011","GRANT CO HOSP DIST 1","HOSPITAL COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","11736","3354",,,
"Dale E Paris (Dale Paris)","2023","GRANT CO HOSP DIST 1","HOSPITAL COMMISSIONER","4",,"0","0","0","0","0","Local","847247","3354","2023-05-16T00:00:00.000",,
"DALE-ESTEY SUZANNE E","2013","SEATTLE SCHOOL DIST 001","SCHOOL DIRECTOR",,"NON PARTISAN","149700.14","149700.14","0.0","30858.00","0","Local","9814","4710",,,
"Dale Fonk (DALE FONK)","2018","LEG DISTRICT 45 - SENATE","STATE SENATOR",,"REPUBLICAN","58068.57","57954.18","0.0","0","0","Legislative","312","4774",,,
"Dale Fort England (Dale England)","2029","CHELAN FIRE PROT DIST 05","FIRE COMMISSIONER","FIRE COMMISSIONER Position 5",,"0","0","0","0","0","Local","3390942","3118",,,
"Dale Fort England (Dale England)","2020","CHELAN CO","COUNTY COMMISSIONER","3","REPUBLICAN","7500.24","8881.97","0.0","0","0","Local","25843","3111",,,
"Dale Grinstead-Mayle","2025","CITY OF BINGEN","CITY COUNCIL MEMBER","3",,"0","0","0","0","0","Local","3323803","3063","2025-05-05T00:00:00.000",,
"Dale J. Wagner","2026","ADAMS CO","COUNTY SHERIFF",,"REPUBLICAN","5050.00","0.0","0.0","0","0","Local","3391621","3002","2026-05-04T00:00:00.000",,
"Dale J. Wagner","2022","ADAMS CO","COUNTY SHERIFF",,"REPUBLICAN","18050.00","11055.97","0.0","0","0","Local","568481","3002","2022-05-16T00:00:00.000",,
"Dale J. Wagner","2018","ADAMS CO","COUNTY SHERIFF",,"REPUBLICAN","0","0","0","0","0","Local","346","3002",,,
"Dale J. Wagner","2016","ADAMS CO","COUNTY SHERIFF",,"REPUBLICAN","0","0","0","0","0","Local","4765","3002",,,
"Dale Kutzera","2023","CITY OF SEATTLE","CITY COUNCIL MEMBER","6",,"3541.73","3501.03","0.00","0","0","Local","689536","4048","2023-05-16T00:00:00.000",,
"Dale L Grams","2017","SKAMANIA HOSP DIST 1","HOSPITAL COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","3938","4101",,,
"Dale L Grams (Dale L. Grams)","2023","SKAMANIA HOSP DIST 1","HOSPITAL COMMISSIONER","1",,"0","0","0","0","0","Local","689927","4101","2023-05-15T00:00:00.000",,
"Dale L Hamlin (Dale Hamlin)","2021","SNOHOMISH FIRE PROT DIST 24 *","FIRE COMMISSIONER","2",,"0","0","0","0","0","Local","434653","4131","2021-05-21T00:00:00.000",,
"Dale L Hamlin (DALE HAMLIN)","2015","SNOHOMISH FIRE PROT DIST 24 *","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","20172","4131",,,
"Dale ?Mac? McCalden","2023","LEWIS FIRE PROT DIST 16","FIRE COMMISSIONER","3",,"0","0","0","0","0","Local","2078499","3645","2023-05-17T00:00:00.000",,
"Dale McNitt","2025","STEVENS FIRE PROT DIST 08","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","3334656","4196","2025-05-09T00:00:00.000",,
"Dale McNitt","2023","ORIENT SD 065/209 *","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","2078861","3831","2023-05-16T00:00:00.000",,
"Dale M. Putnam","2025","THURSTON FIRE PROT DIST 09","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","3323368","4240","2025-05-05T00:00:00.000",,
"Dale M. Putnam","2009","THURSTON FIRE PROT DIST 09","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","14584","4240",,,
"Dale M. Putnam (DALE PUTNAM)","2013","THURSTON FIRE PROT DIST 09","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","8949","4240",,,
"Dale M. Putnam (PUTNAM DALE M)","2019","THURSTON FIRE PROT DIST 09","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","18849","4240","2019-05-13T00:00:00.000",,
"DALE Q, RICE","2015","VANCOUVER SD 037","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","6172","4278",,,
"DALE Q, RICE","2011","VANCOUVER SD 037","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","11615","4278",,,
"DALE Q, RICE (RICE DALE Q)","2019","VANCOUVER SD 037","SCHOOL DIRECTOR","1",,"14921.62","14921.62","0.0","0","0","Local","24591","4278","2019-05-13T00:00:00.000",,
"Dale Reed","2025","CITY OF ORTING","CITY COUNCIL MEMBER","7",,"0","0","0","0","0","Local","3335491","3835","2025-05-09T00:00:00.000",,
"Dale Rey","2023","TOWN OF COULEE DAM *","CITY COUNCIL MEMBER","3",,"0","0","0","0","0","Local","2079158","4603","2023-05-18T00:00:00.000",,
"DALESANDRO MICHAEL S","2009","CITY OF BATTLE GROUND","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","208.29","0","Local","15562","3038",,,
"DALESANDRO MICHAEL S (MICHAEL DALESANDRO)","2017","CITY OF BATTLE GROUND","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","2817","3038",,,
"DALESANDRO MICHAEL S (MICHAEL DALESANDRO)","2015","CLARK CO","COUNTY COUNCIL MEMBER",,"DEMOCRATIC","15656.11","17749.31","0.0","0","0","Local","5195","3147",,,
"DALESANDRO MICHAEL S (MICHAEL DALESANDRO)","2013","CITY OF BATTLE GROUND","CITY COUNCIL MEMBER",,"NONE","0","0","0","0","0","Local","8620","3038",,,
"DALESANDRO MICHAEL S (Mike Dalesandro)","2020","CLARK CO","COUNTY CHARTER REVIEW COMMISSIONER","Charter Review Commissioner District 5, Position 3",,"0","0","0","0","0","Local","25955","3147",,,
"DALESANDRO SCOTT D (Scott Dalesandro)","2019","VANCOUVER SD 037","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","18554","4278","2019-05-17T00:00:00.000",,
"DALESANDRO SCOTT D (SCOTT DALESANDRO)","2015","PORT OF VANCOUVER","PORT COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","5198","3970",,,
"DALESANDRO SCOTT D (SCOTT DALESANDRO)","2014","LEG DISTRICT 49 - HOUSE","STATE REPRESENTATIVE",,"NON PARTISAN","0","0","0","0","0","Legislative","7382","4876",,,
"Dale Thornton","2019","KIONA BENTON SD 052","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","23967","3537","2019-05-13T00:00:00.000",,
"Dale Walker","2010","GRANT PUD 02 - ELE","PUBLIC UTILITY COMMISSIONER",,"NON PARTISAN","26502.03","37759.07","0.0","0","0","Local","13055","3367",,,
"Dale Walker (DALE WALKER)","2016","GRANT PUD 02 - ELE","PUBLIC UTILITY COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","4449","3367",,,
"Dale Watkins","2023","Bear Mountain Water District","WATER & SEWER COMMISSIONER","2",,"0","0","0","0","0","Local","2078406","5228","2023-05-17T00:00:00.000",,
"Dale Whitaker","2026","SPOKANE CO","COUNTY AUDITOR",,"REPUBLICAN","24728.67","7618.18","0.0","0","0","Local","3391675","4151","2026-05-04T00:00:00.000",,
"Dale Whitaker","2024","State of Washington","SECRETARY OF STATE",,"REPUBLICAN","90721.97","89194.47","0.0","1056.49","0","Statewide","3296657","1000","2024-05-06T00:00:00.000",,
"Dale Wilson","2018","CLALLAM CO","COUNTY COMMISSIONER","3","NONE","0","0","0","0","0","Local","417","3133",,,
"DALEY BARBARA B (BARBARA DALEY)","2015","LYNDEN PARK & REC DIST","PARK & RECREATION COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","5194","5000",,,
"Dalia Chavez-Isiordia","2023","GRANGER SD 204","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","728591","3337","2023-05-15T00:00:00.000",,
"Dalia Chavez-Isiordia","2019","GRANGER SD 204","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","23219","3337","2019-05-17T00:00:00.000",,
"Dalia Chavez-Isiordia (DALIA CHAVEZ-ISIORDIA)","2018","GRANGER SD 204","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","21489","3337",,,
"DALING EDMUND H (EDMUND DALING)","2012","DOUGLAS CO","COUNTY COMMISSIONER",,"REPUBLICAN","16610.00","16610.00","0.0","8491.76","0","Local","10283","3235",,,
"DALKE BRANDON","2013","EAST COUNTY PARK & REC DIST","PARK & RECREATION COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","9884","4682",,,
"Dallas Johnson","2018","PEND OREILLE PUD ELE","PUBLIC UTILITY COMMISSIONER","1","NON PARTISAN","0","0","0","0","0","Local","842","3874",,,
"Dallas Loomis","2023","ST JOHN SD 322/401 *","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","2078459","4175","2023-05-19T00:00:00.000",,
"DALLUGE-EKLUND ELISIA LISA (ELISIA DALLUGE-EKLUND)","2015","CITY OF MOSES LAKE","CITY COUNCIL MEMBER",,"NON PARTISAN","0.0","0.0","0.0","0","0","Local","5203","3744",,,
"DALLUGE-EKLUND ELISIA LISA (Elisia Lisa Dalluge Eklund)","2023","CITY OF MOSES LAKE","CITY COUNCIL MEMBER","7",,"60.00","60.00","0.0","0","0","Local","1571493","3744","2023-05-19T00:00:00.000",,
"DALSEG RODNEY A (RODNEY DALSEG)","2013","CONWAY SD 317","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","19804","3191",,,
"DALTON BARTON D","2019","PIERCE FIRE PROT DIST 03","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","23465","3887","2019-05-15T00:00:00.000",,
"DALTON BARTON D","2013","PIERCE FIRE PROT DIST 03","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","9880","3887",,,
"DALTON JEANETTE M","2016","KITSAP CO SUPERIOR COURT","SUPERIOR COURT JUDGE",,"NON PARTISAN","0","0","0","0","0","Judicial","4986","3545",,,
"DALTON JEANETTE M","2012","KITSAP CO SUPERIOR COURT","SUPERIOR COURT JUDGE",,"NON PARTISAN","0","0","0","0","0","Judicial","10991","3545",,,
"DALTON TIMOTHY E","2014","BENTON CO","COUNTY COMMISSIONER",,"REPUBLICAN","5100.00","7202.37","0.0","0","0","Local","8096","4725",,,
"DALTON TIMOTHY E","2010","BENTON CO","COUNTY COMMISSIONER",,"REPUBLICAN","5196.47","6142.56","0.0","0","0","Local","13879","4725",,,
"DALY PAMELA L","2011","PORT TOWNSEND SD 050","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","12628","3978",,,
"Damarys Espinoza","2025","HIGHLINE SD 401","SCHOOL DIRECTOR","4",,"20302.36","16835.53","0.0","4659.80","0","Local","3325866","3408","2025-05-05T00:00:00.000",,
"Dameon Marlow","2025","CARBONADO HISTORICAL SD 19","SCHOOL DIRECTOR","1",,"0","0","0","0","0","Local","3326036","3092","2025-05-05T00:00:00.000",,
"DAMIANA MERRYWEATHER O'CONNOR (Damiana Merryweather)","2023","CITY OF SEATAC","CITY COUNCIL MEMBER","7",,"18565.15","18565.15","0.0","2650.81","0","Local","689472","4680","2023-05-15T00:00:00.000",,
"DAMIANA MERRYWEATHER O'CONNOR (DAMIANA MERRYWEATHER)","2019","CITY OF SEATAC","CITY COUNCIL MEMBER","3",,"23634.97","23634.76","0.0","5338.97","0","Local","18875","4680","2019-05-20T00:00:00.000",,
"Damian Bean (DAMIAN BEAN)","2024","LEWIS CO","COUNTY COMMISSIONER","1","DEMOCRATIC","6783.91","6783.91","0.0","0","0","Local","3296638","3626","2024-05-06T00:00:00.000",,
"Damian Matthew Baptiste-Cerra (Matthew Baptiste-Cerra)","2025","CITY OF BREMERTON","CITY COUNCIL MEMBER","7",,"822.33","161.53","0.0","0","0","Local","3321449","3071","2025-05-05T00:00:00.000",,
"Damion E Jiles, Sr. (DAMION JILES)","2018","LEG DISTRICT 17 - HOUSE","STATE REPRESENTATIVE","2","DEMOCRATIC","5330.79","1028.00","0.0","263.94","0","Legislative","131","4811",,,
"Damion E Jiles, Sr. (DAMION JILES)","2017","RIDGEFIELD SD 122","SCHOOL DIRECTOR",,"DEMOCRATIC","0","0","0","0","0","Local","2400","4013",,,
"Damion Green","2023","CITY OF RAINIER","CITY COUNCIL MEMBER","2",,"0","0","0","0","0","Local","2078550","3996","2023-05-16T00:00:00.000",,
"DAMJANOVIC ANITA (ANITA DAMJANOVIC)","2017","LAKE WA SD 414","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","2814","3616",,,
"Damon Drew Sallee (Damon Sallee)","2021","NORTH PERRY AVE WATER DIST #13","WATER & SEWER COMMISSIONER","2",,"0","0","0","0","0","Local","507874","3783",,,
"Damon George Shadid","2014","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE",,"NON PARTISAN","63601.96","67681.53","0.0","10000.00","0","Judicial","7796","4628",,,
"Damon George Shadid (Damon Shadid)","2026","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE","7",,"101.54","869.68","0.0","0","0","Judicial","3391094","4628","2026-05-04T00:00:00.000",,
"Damon George Shadid (Damon Shadid)","2022","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE","7",,"72177.04","72177.04","0.0","144.75","0","Judicial","567504","4628","2022-05-16T00:00:00.000",,
"Damon George Shadid (DAMON SHADID)","2018","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE","7","NON PARTISAN","1989.92","2489.92","0.0","791.83","0","Judicial","649","4628",,,
"Damon Powell","2023","CITY OF EPHRATA","CITY COUNCIL MEMBER","7",,"0","0","0","0","0","Local","1555689","3277","2023-05-18T00:00:00.000",,
"Damon Shayne VanDyke (D. Shayne VanDyke)","2023","CITY OF RICHLAND","CITY COUNCIL MEMBER","5",,"5859.57","6194.06","0.0","0","0","Local","689624","4010","2023-05-15T00:00:00.000",,
"Damon Townsend","2026","PIERCE CO","COUNTY AUDITOR",,,"7095.77","2171.65","0.0","0","0","Local","3393520","3879","2026-05-06T00:00:00.000",,
"Damon Townsend","2025","PIERCE CO","COUNTY CHARTER REVIEW COMMISSIONER","Charter Review Commissioner District 7, Position 3",,"0","0","0","0","0","Local","3323163","3879","2025-05-05T00:00:00.000",,
"Damon Townsend","2024","State of Washington","SECRETARY OF STATE",,"OTHER","2422.00","3813.18","0.0","0","0","Statewide","3310914","1000","2024-05-10T00:00:00.000",,
"Damon Townsend","2022","PIERCE CO","COUNTY AUDITOR",,,"10634.16","10309.71","0.0","0","0","Local","567345","3879","2022-05-16T00:00:00.000",,
"DAMRON ALAN D (ALAN DAMRON)","2014","GARFIELD CO","COUNTY COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","7378","3320",,,
"Dan Abbott","2025","TAHOMA SD 409","SCHOOL DIRECTOR","4",,"0.0","0.00","0.0","0","0","Local","3335362","4220","2025-05-08T00:00:00.000",,
"Dana Briggs","2019","CITY OF BELLINGHAM","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","23098","3046","2019-05-17T00:00:00.000",,
"Dana C PARNELLO (Dana C Parnello)","2025","CITY OF MAPLE VALLEY","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","3322237","5009","2025-05-05T00:00:00.000",,
"Dana C PARNELLO (Dana Parnello)","2021","CITY OF MAPLE VALLEY","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","93953","5009","2021-05-17T00:00:00.000",,
"Dana C PARNELLO (DANA PARNELLO)","2017","CITY OF MAPLE VALLEY","CITY COUNCIL MEMBER",,"OTHER","1766.74","1165.10","0.0","0","0","Local","2234","5009",,,
"Dana C PARNELLO (DANA PARNELLO)","2015","CITY OF MAPLE VALLEY","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","5615","5009",,,
"Dana DePaulo","2025","TOWN OF MARCUS","CITY COUNCIL MEMBER","1",,"0","0","0","0","0","Local","3328688","3693","2025-05-07T00:00:00.000",,
"Danae Valdez (Danae Valdez Gonzales)","2023","CITY OF OTHELLO","CITY COUNCIL MEMBER","5",,"0","0","0","0","0","Local","1309920","3837","2023-05-18T00:00:00.000",,
"Dan A. Huff (Dan Huff)","2023","CLALLAM FIRE PROT DIST 02","FIRE COMMISSIONER","1",,"0","0","0.0","0","0","Local","690167","3138","2023-05-15T00:00:00.000",,
"Dana Kelleher","2025","CLOVER PK SD 400","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","3328504","3168","2025-05-07T00:00:00.000",,
"Dana Kinsey (DANA KINSEY)","2015","EASTSOUND SEWER & WATER DIST","WATER & SEWER COMMISSIONER",,,"0","0","0","0","0","Local","20969","3258",,,
"Dana Kinsey (D. N. Kinsey)","2020","SAN JUAN CO","COUNTY CHARTER REVIEW COMMISSIONER","2",,"0","0","0","0","0","Local","50845","4038",,,
"Dana Krueger","2025","LAKEWOOD SD 306","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","3322927","3618","2025-05-05T00:00:00.000",,
"Dana Krueger","2023","LAKEWOOD SD 306","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","689762","3618","2023-05-16T00:00:00.000",,
"Dana L. Jorden","2025","HIGHLAND WATER DIST","WATER & SEWER COMMISSIONER","3",,"0","0","0","0","0","Local","3327898","5022","2025-05-06T00:00:00.000",,
"Dana L. Jorden","2019","HIGHLAND WATER DIST","WATER & SEWER COMMISSIONER","3",,"0","0","0","0","0","Local","23596","5022","2019-05-16T00:00:00.000",,
"Dana L. Spivey (Dana Morgan Spivey)","2023","RAINIER SD 307","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","1075698","3997","2023-05-17T00:00:00.000",,
"Dana L. Spivey (Dana Morgan Spivey)","2019","RAINIER SD 307","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","23680","3997","2019-05-13T00:00:00.000",,
"Dana L. Spivey (DANA SPIVEY)","2015","RAINIER SD 307","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","22908","3997",,,
"Dan Anderson","2025","CITY OF TOLEDO","CITY COUNCIL MEMBER","2",,"0","0","0","0","0","Local","3323906","4251","2025-05-05T00:00:00.000",,
"Dana Ralph","2029","CITY OF KENT","MAYOR",,,"0","0","0.0","0","0","Local","3391393","3459",,,
"Dana Ralph","2025","CITY OF KENT","MAYOR",,,"45547.64","10244.13","0.0","0","0","Local","3296682","3459","2025-05-05T00:00:00.000",,
"Dana Ralph","2021","CITY OF KENT","MAYOR",,,"127984.00","73801.84","0.0","23205.62","0","Local","92940","3459","2021-05-17T00:00:00.000",,
"Dana Ralph","2011","CITY OF KENT","CITY COUNCIL MEMBER",,"NON PARTISAN","16279.73","14257.64","0.0","0","0","Local","11653","3459",,,
"Dana Ralph","2009","CITY OF KENT","CITY COUNCIL MEMBER",,"NON PARTISAN","9659.90","4677.94","0.0","0","0","Local","14574","3459",,,
"Dana Ralph (DANA RALPH)","2017","CITY OF KENT","MAYOR",,"NON PARTISAN","90636.96","84339.84","0.0","0","0","Local","2189","3459",,,
"Dana Ralph (DANA RALPH)","2015","CITY OF KENT","CITY COUNCIL MEMBER",,"NON PARTISAN","10474.90","11080.43","0.0","0","0","Local","5657","3459",,,
"Dana Ranae Ziemer (Dana Ranae Ziemer )","2019","CITY OF RIDGEFIELD","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","23110","4012","2019-05-13T00:00:00.000",,
"Dana Tan","2025","CITY OF OLYMPIA","CITY COUNCIL MEMBER","6",,"518.91","400.00","0.0","0","0","Local","3335443","3820","2025-05-09T00:00:00.000",,
"Dana Tucker (Dana Michelle Tucker)","2022","COWLITZ CO","COUNTY CORONER",,"REPUBLICAN","8006.53","6255.25","0.0","0","0","Local","567755","3200","2022-05-16T00:00:00.000",,
"Dana Tucker (Dana M. Tucker)","2026","COWLITZ CO","COUNTY CORONER",,"REPUBLICAN","0.0","0.00","0.0","0","0","Local","3391284","3200","2026-05-04T00:00:00.000",,
"Dana w.Starkweather (Dana Starkweather)","2023","CHELAN FIRE PROT DIST 05","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","857966","3118","2023-05-15T00:00:00.000",,
"Dana w.Starkweather (Dana Starkweather)","2021","CHELAN FIRE PROT DIST 05","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","110594","3118","2021-05-17T00:00:00.000",,
"Dan Baker","2019","CHELAN FIRE PROT DIST 05","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","24485","3118","2019-05-13T00:00:00.000",,
"Dan Bentley","2025","TOWN OF MARCUS","CITY COUNCIL MEMBER","4",,"0","0","0","0","0","Local","3325486","3693","2025-05-06T00:00:00.000",,
"Dan Bentley","2023","TOWN OF MARCUS","CITY COUNCIL MEMBER","4",,"0","0","0","0","0","Local","2079145","3693","2023-05-17T00:00:00.000",,
"Dan Bigelow","2026","WAHKIAKUM CO","COUNTY PROSECUTOR",,"DEMOCRATIC","0.0","2097.47","0.0","0","0","Local","3391778","4286","2026-05-04T00:00:00.000",,
"Dan Bigelow","2022","WAHKIAKUM CO","COUNTY PROSECUTOR",,"DEMOCRATIC","2063.35","2063.35","0.0","0","0","Local","567693","4286","2022-05-16T00:00:00.000",,
"Dan Bigelow","2014","WAHKIAKUM CO","COUNTY PROSECUTOR",,"DEMOCRATIC","0","0","0","0","0","Local","8161","4286",,,
"Dan Bigelow","2010","WAHKIAKUM CO","COUNTY PROSECUTOR",,"DEMOCRATIC","0","0","0","0","0","Local","14015","4286",,,
"Dan Bigelow (DANIEL BIGELOW)","2018","WAHKIAKUM CO","COUNTY PROSECUTOR",,"DEMOCRATIC","6768.12","7590.96","0.0","0","0","Local","872","4286",,,
"Dan B. Johnson","2026","LINCOLN CO DISTRICT COURT","DISTRICT COURT JUDGE",,,"0","0","0","0","0","Judicial","3392231","3656","2026-05-04T00:00:00.000",,
"Dan B. Johnson","2022","LINCOLN CO DISTRICT COURT","DISTRICT COURT JUDGE",,,"0","0","0","0","0","Judicial","567766","3656","2022-05-16T00:00:00.000",,
"Dan B. Johnson","2020","LINCOLN CO SUPERIOR COURT","SUPERIOR COURT JUDGE",,,"14684.85","16520.00","0.0","311.86","0","Judicial","26283","3657",,,
"Dan B. Johnson","2016","LINCOLN CO DISTRICT COURT","DISTRICT COURT JUDGE",,"NON PARTISAN","0","0","0","0","0","Judicial","4911","3656",,,
"Dan B. Johnson (DAN JOHNSON)","2018","LINCOLN CO DISTRICT COURT","DISTRICT COURT JUDGE",,"NON PARTISAN","0","0","0","0","0","Judicial","778","3656",,,
"Dan Blasdel","2014","FRANKLIN CO","COUNTY CORONER",,"REPUBLICAN","0","0","0","0","0","Local","8153","3306",,,
"Dan Blasdel","2010","FRANKLIN CO","COUNTY CORONER",,"REPUBLICAN","0","0","0","0","0","Local","14017","3306",,,
"Dan Blasdel (DAN BLASDEL)","2018","FRANKLIN CO","COUNTY CORONER",,"REPUBLICAN","3431.15","6301.11","458.27","0","0","Local","572","3306",,,
"Dan Boyes","2024","SKAMANIA PUD 01 - ELE","PUBLIC UTILITY COMMISSIONER","1",,"0","0","0","0","0","Local","3253659","4102","2024-05-06T00:00:00.000",,
"Dan Boyes (DANIEL BOYES)","2018","SKAMANIA PUD 01 - ELE","PUBLIC UTILITY COMMISSIONER","1","NON PARTISAN","0","0","0","0","0","Local","889","4102",,,
"Dan Butler","2023","CITY OF SEQUIM","CITY COUNCIL MEMBER","2",,"6469.25","6404.42","0.0","0","0","Local","1625505","4055","2023-05-18T00:00:00.000",,
"Dan Byrne","2025","WHITWORTH WATER DIST 02","WATER & SEWER COMMISSIONER","3",,"0.0","0.00","0.0","0","0","Local","3368965","4398","2025-08-08T00:00:00.000",,
"Dan Dal Santo","2025","CITY OF BLACK DIAMOND","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","3328505","3064","2025-05-07T00:00:00.000",,
"Dan DeLano","2022","GRANT CO","COUNTY COMMISSIONER","3","REPUBLICAN","1750.00","6870.37","2754.34","0","0","Local","567919","3340","2022-05-20T00:00:00.000",,
"Dan Driscoll","2020","PACIFIC CO","COUNTY COMMISSIONER","2","LIBERTARIAN","10548.75","10363.21","0.0","0","0","Local","48919","3841",,,
"Dane A. Looker","2015","PUYALLUP SD 003","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","6425","3989",,,
